displayname,twitchurl,viewminutes,streamedminutes,maxviewers,avgviewers,milestonefollowers,rownum,followers,followersgained,viewsgained,followersgainedwhileplaying,partner,affiliate,mature,language,languageId,status,previousviewminutes,previousstreamedminutes,previousmaxviewers,previousavgviewers,previousfollowergain,previousviewsgained,gamesPlayed,id,url,baseOnly
forsen,https://www.twitch.tv/forsen,19275990,2205,18681,8741,,96,1763996,841,0,0,True,False,True,English,0,Partner,35430075,2220,85620,15959,1256,0,,194103,forsen,False
TcK10,https://www.twitch.tv/tck10,19226310,2535,23054,7584,,97,682149,1368,0,0,True,False,False,Portuguese,0,Partner,21795660,2910,27740,7489,606,0,,27255852,tck10,False
叶ちゃんねる (kanae_2434),https://www.twitch.tv/kanae_2434,19190730,2760,35016,6953,,98,725095,1850,0,0,False,False,False,Japanese,0,Community,19324215,2625,24727,7361,1407,0,,16051775,kanae_2434,False
たいじ_たいちゃんねる (yaritaiji),https://www.twitch.tv/yaritaiji,19025715,2385,14669,7977,,99,140242,2088,0,0,False,False,False,Japanese,0,Community,9643755,1155,15740,8349,1041,0,,38367028,yaritaiji,False
Trymacs,https://www.twitch.tv/trymacs,18912840,1680,23236,11257,,100,3732988,1882,0,0,True,False,False,German,0,Partner,27999750,2220,43285,12612,4179,0,,5021703,trymacs,False
Grubby,https://www.twitch.tv/grubby,18559080,2790,11829,6652,,101,714042,550,0,0,True,False,False,English,0,Partner,21489480,2820,15642,7620,2922,0,,93250,grubby,False
KRL_STREAM,https://www.twitch.tv/krl_stream,18535320,3510,24503,5280,,102,94286,2943,0,0,True,False,True,French,0,Partner,12800985,3810,14202,3359,2230,0,,9603875,krl_stream,False
如月れん (ren_kisaragi__),https://www.twitch.tv/ren_kisaragi__,18484005,3930,16919,4703,,103,250203,6133,0,0,True,False,False,Japanese,0,Partner,4435035,1935,5070,2292,1030,0,,50771716,ren_kisaragi__,False
gabepeixe,https://www.twitch.tv/gabepeixe,18262845,2970,15237,6149,,104,1706193,-95,0,0,True,False,False,Portuguese,0,Partner,24849195,3600,53113,6902,8964,0,,8338655,gabepeixe,False
Tubbo,https://www.twitch.tv/tubbo,18006720,10080,6129,1786,,105,5251454,-785,0,0,True,False,False,English,0,Partner,18912180,10080,4423,1876,-393,0,,15655323,tubbo,False
BALLERLEAGUE,https://www.twitch.tv/ballerleague,17903730,390,62322,45907,,106,327092,2862,0,0,True,False,False,German,0,Partner,22387380,390,78511,57403,2980,0,,66728509,ballerleague,False
LVNDMARK,https://www.twitch.tv/lvndmark,17692965,3120,10040,5670,,107,1321981,275,0,0,True,False,False,English,0,Partner,13620480,3015,7568,4517,259,0,,22584174,lvndmark,False
HandOfBlood,https://www.twitch.tv/handofblood,17687565,1875,14410,9433,,108,1330328,2933,0,0,True,False,False,German,0,Partner,4666200,540,11468,8641,431,0,,882997,handofblood,False
kussia88,https://www.twitch.tv/kussia88,17397420,3150,8788,5522,,109,1243020,6115,0,0,False,False,True,Russian,0,Community,3687195,690,7285,5343,1702,0,,59540277,kussia88,False
TraYtoNlol,https://www.twitch.tv/traytonlol,17356530,4560,9325,3806,,110,225573,744,0,0,True,False,False,French,0,Partner,5982705,2010,7804,2976,142,0,,243696,traytonlol,False
Jerma985,https://www.twitch.tv/jerma985,17316930,1470,15806,11780,,111,1508493,1469,0,0,True,False,True,English,0,Partner,18605475,1710,15400,10880,1345,0,,797783,jerma985,False
lol_nemesis,https://www.twitch.tv/lol_nemesis,17307885,2055,16331,8422,,112,815526,5217,0,0,True,False,False,English,0,Partner,20371455,3030,36978,6723,5463,0,,9998577,lol_nemesis,False
Lord_Kebun,https://www.twitch.tv/lord_kebun,17305785,1950,12187,8874,,113,692613,136,0,0,True,False,False,English,0,Partner,24189780,2745,11597,8812,330,0,,11151618,lord_kebun,False
IzakOOO,https://www.twitch.tv/izakooo,17067645,3000,18132,5689,,114,1980545,1491,0,0,True,False,False,Polish,0,Partner,14490285,3795,14642,3818,765,0,,136222,izakooo,False
TheBurntPeanut,https://www.twitch.tv/theburntpeanut,16969725,3075,7635,5518,,115,131851,6178,0,0,True,False,False,English,0,Partner,15116280,3060,7241,4939,5086,0,,25263641,theburntpeanut,False
k4sen,https://www.twitch.tv/k4sen,16844775,1350,23491,12477,,116,919606,1760,0,0,True,False,False,Japanese,0,Partner,39134730,2475,24768,15812,2017,0,,462562,k4sen,False
